directory,function
attack-damage,"pi(x,11.5,1,1)"
critical-strike-chance,"pi(x,6.5,1,1)"
critical-strike-power,"pi(x,77.5,1,1)"
ability@1.cooldown,"(1000-((min(x,9)-1)*40))/100"
ability@2.cooldown,"(1000-((min(x,9)-1)*40))/100"
ability@2.duration,"(100+((min(x,9)-1)*15))/100"
ability@1.damage-percent,"(50+((min(x,9)-1)*2))"
ability@1.mana,"(400+((min(x,9)-1)*20))/100"
name,"f""<#804B28>Wedged Axe <#6B6666>[{color(x)}Lvl.{x}<#6B6666>]"""
abilities_lore.3,"f"" &7Cooldown : &e{$ability@1.cooldown$}s&7, Mana Cost : &e{$ability@1.mana$}"""
abilities_lore.2,"f"" &7and stun target for &e{$ability@2.duration$}s"""
abilities_lore.1,"f"" &7Increase the next damage dealt by &e{int($ability@1.damage-percent$)}%"""
