directory,function
attack-damage,"pi(x,9.5,1,1)"
critical-strike-chance,"pi(x,15,2,2)"
critical-strike-power,"pi(x,60,1,1)"
ability@1.length,"round((5+(min(x,9)-1))/20,2)"
ability@1.damage,"8+((min(x,9)-1)*3/4)"
ability@1.mana,"(80+((min(x,9)-1)*2))/10"
name,"f""<#00AEE6>Bokken <#6B6666>[{color(x)}Lvl.{x}<#6B6666>]"""
abilities_lore.3,"f"" &7Cooldown : &e{$ability@1.cooldown$}s&7, Mana Cost : &e{$ability@1.mana$}"""
abilities_lore.2,"f"" &7deal &e{$ability@1.damage$}&7 damage to enemies passed through."""
abilities_lore.1,"f"" &7Charge &e1s&7 then dash forward for &e{$ability@1.length$}s&7 and"""
