directory,function
attack-damage,"pio(x,9,11.5,2.25,2.5)"
critical-strike-chance,"pio(x,9,7,1.5,1.5)"
critical-strike-power,"pio(x,9,85,4,4)"
skill-critical-strike-chance,"pio(x,9,10,4,4)"
skill-critical-strike-power,"pio(x,9,50,15,8)"
movement-speed,"-round(pio(x,9,5,8,8)/100,3)"
ability@1.damage,"((min(x,9)-1)*30+740)/100"
ability@1.cooldown,"(800-((min(x,9)-1)*30))/100"
ability@1.mana,"(1000-((min(x,9)-1)*40))/100"
ability@1.radius,"((min(x,9)+1)//2)+3"
name,"lambda x,y: f""<#00FF7F>Exalted Hausmarchen <#6B6666>[{color(x+9)}Lvl.{x+9}<#6B6666>]"""
abilities_lore.2,"lambda x,y: f"" &7Cooldown : &e{$ability@1.cooldown$}s&7, Mana Cost : &e{$ability@1.mana$}"""
abilities_lore.1,"lambda x,y: f"" &7Deal &e{$ability@1.damage$} &7damage in a &e{int($ability@1.radius$)}&7 radius circle"""
