directory,function
attack-damage,"pio(x,9,9.5,2,2)"
critical-strike-chance,"pio(x,9,15,3,3.5)"
critical-strike-power,"pio(x,9,60,2,2)"
movement-speed,"round(pio(x,9,8,3,3)/100,3)"
ability@1.damage,"14+((min(x,9)-1))*3/2"
ability@1.cooldown,"(800-((min(x,9)-1)*25))/100"
ability@1.mana,"(96+((min(x,9)-1)*2))/10"
name,"f""<#D4AF37>Itomaki Tachi <#6B6666>[{color(x+9)}Lvl.{x+9}<#6B6666>]"""
abilities_lore.3,"f"" &7Cooldown : &e{$ability@1.cooldown$}s&7, Mana Cost : &e{$ability@1.mana$}"""
abilities_lore.2,"f"" &7deal &e{$ability@1.damage$}&7 damage to enemies passed through."""
abilities_lore.1,"f"" &7Charge &e1s&7 then dash forward for &e{$ability@1.length$}s&7 and"""
